epoch,odor_id,odor_name,mouse_id,trial,R_local
2,1,3 Methylvaleric Acid,0,7,0.28732626653031784
2,1,3 Methylvaleric Acid,0,8,0.24197872636947357
2,1,3 Methylvaleric Acid,0,9,0.2706113897494347
2,1,3 Methylvaleric Acid,0,10,0.2704116356609545
2,1,3 Methylvaleric Acid,0,11,0.29184829153318864
2,1,3 Methylvaleric Acid,0,12,0.31650550683546064
2,1,3 Methylvaleric Acid,0,13,0.23417109367991246
2,1,3 Methylvaleric Acid,0,14,0.27151217574626574
2,1,3 Methylvaleric Acid,1,0,0.32923361081018987
2,1,3 Methylvaleric Acid,1,1,0.24023185975132838
2,1,3 Methylvaleric Acid,1,2,0.23708538821221814
2,1,3 Methylvaleric Acid,1,3,0.27806763657707867
2,1,3 Methylvaleric Acid,1,4,0.30375079652324377
2,1,3 Methylvaleric Acid,1,5,0.2704324311262573
2,1,3 Methylvaleric Acid,1,6,0.3231338125213105
2,1,3 Methylvaleric Acid,1,7,0.304247148206492
2,1,3 Methylvaleric Acid,1,8,0.3036481915794334
2,1,3 Methylvaleric Acid,1,9,0.2921400489567947
2,1,3 Methylvaleric Acid,1,10,0.3630815129176743
2,1,3 Methylvaleric Acid,1,11,0.26176892134918917
2,1,3 Methylvaleric Acid,1,12,0.18983449722117038
2,1,3 Methylvaleric Acid,1,13,0.33414556336451656
2,1,3 Methylvaleric Acid,1,14,0.2516674116655579
2,2,Acetic Acid,0,0,0.2929237339235405
2,2,Acetic Acid,0,1,0.34099054354424024
2,2,Acetic Acid,0,2,0.22451813450746216
2,2,Acetic Acid,0,3,0.2385426275855736
2,2,Acetic Acid,0,4,0.22455739866506502
2,2,Acetic Acid,0,5,0.25684306454880224
2,2,Acetic Acid,0,6,0.30619398039049894
2,2,Acetic Acid,0,7,0.30957602986233
2,2,Acetic Acid,0,8,0.29965948332296133
2,2,Acetic Acid,0,9,0.23209788079412452
2,2,Acetic Acid,0,10,0.1962043786845134
2,2,Acetic Acid,0,11,0.2907826595654345
2,2,Acetic Acid,0,12,0.2697374748042858
2,2,Acetic Acid,0,13,0.30698394701848364
2,2,Acetic Acid,0,14,0.31668666119867
2,2,Acetic Acid,1,0,0.2914831538444636
2,2,Acetic Acid,1,1,0.3163588199771505
2,2,Acetic Acid,1,2,0.2951219515267191
2,2,Acetic Acid,1,3,0.307156084786175
2,2,Acetic Acid,1,4,0.25776656604732107
2,2,Acetic Acid,1,5,0.278769040008858
2,2,Acetic Acid,1,6,0.2938245404283946
2,2,Acetic Acid,1,7,0.3187746355788131
2,2,Acetic Acid,1,8,0.27020384967313343
2,2,Acetic Acid,1,9,0.30680018679140086
2,2,Acetic Acid,1,10,0.2753199448855012
2,2,Acetic Acid,1,11,0.2812518098689911
2,2,Acetic Acid,1,12,0.3191342582430793
2,2,Acetic Acid,1,13,0.2062310817199501
2,2,Acetic Acid,1,14,0.23409460343912591
2,3,Gerinol,0,0,0.21372267814217036
2,3,Gerinol,0,1,0.17966544924595101
2,3,Gerinol,0,2,0.24587951643367612
2,3,Gerinol,0,3,0.3029874500289928
2,3,Gerinol,0,4,0.2616147313845802
2,3,Gerinol,0,5,0.2809216973175573
2,3,Gerinol,0,6,0.3165787939083149
2,3,Gerinol,0,7,0.32611753933059084
2,3,Gerinol,0,8,0.2702445766508376
2,3,Gerinol,0,9,0.3271535296226591
2,3,Gerinol,0,10,0.27669516037724756
2,3,Gerinol,0,11,0.23951416508678472
2,3,Gerinol,0,12,0.24923407995193378
2,3,Gerinol,0,13,0.21378863353728256
2,3,Gerinol,0,14,0.2374847398905371
2,3,Gerinol,1,0,0.24941188205502798
2,3,Gerinol,1,1,0.29587595035314923
2,3,Gerinol,1,2,0.3325633428246445
2,3,Gerinol,1,3,0.20844528896292355
2,3,Gerinol,1,4,0.2794456483084019
2,3,Gerinol,1,5,0.22211079201170378
2,3,Gerinol,1,6,0.2827204331165332
2,3,Gerinol,1,7,0.2584890835504961
2,3,Gerinol,1,8,0.19049631654410393
2,3,Gerinol,1,9,0.3008644292407445
2,3,Gerinol,1,10,0.2395325210656559
2,3,Gerinol,1,11,0.24237654004306297
2,3,Gerinol,1,12,0.22094245312641755
2,3,Gerinol,1,13,0.23756121851050294
2,3,Gerinol,1,14,0.28084816720580186
2,4,n Methyl Piperdine,0,0,0.2610606280907588
2,4,n Methyl Piperdine,0,1,0.2817768818195143
2,4,n Methyl Piperdine,0,2,0.2831072758853688
2,4,n Methyl Piperdine,0,3,0.32145686794934175
2,4,n Methyl Piperdine,0,4,0.25491895569363987
2,4,n Methyl Piperdine,0,5,0.20955608905438577
2,4,n Methyl Piperdine,0,6,0.3113192983910944
2,4,n Methyl Piperdine,0,7,0.25537087484432486
2,4,n Methyl Piperdine,0,8,0.31321409951131013
2,4,n Methyl Piperdine,0,9,0.2839654862555139
2,4,n Methyl Piperdine,0,10,0.26338490052008123
2,4,n Methyl Piperdine,0,11,0.28258143749006687
2,4,n Methyl Piperdine,0,12,0.34667090413326707
2,4,n Methyl Piperdine,0,13,0.35170962289036517
2,4,n Methyl Piperdine,0,14,0.2714056471335262
2,4,n Methyl Piperdine,1,0,0.2886896517583319
2,4,n Methyl Piperdine,1,1,0.3253316343243043
2,4,n Methyl Piperdine,1,2,0.248455586714955
2,4,n Methyl Piperdine,1,3,0.2956048429303791
2,4,n Methyl Piperdine,1,4,0.2812475141074946
2,4,n Methyl Piperdine,1,5,0.294838356483951
2,4,n Methyl Piperdine,1,6,0.24894727578767264
2,4,n Methyl Piperdine,1,7,0.2186993282932901
2,4,n Methyl Piperdine,1,8,0.1993626905859972
2,4,n Methyl Piperdine,1,9,0.23758666350606455
2,4,n Methyl Piperdine,1,10,0.26393501662807556
2,4,n Methyl Piperdine,1,11,0.2705543645596984
2,4,n Methyl Piperdine,1,12,0.35977127452282953
2,4,n Methyl Piperdine,1,13,0.3265217628219408
2,4,n Methyl Piperdine,1,14,0.24379838337198378
2,5,"2,4 Dimethyl Acetophenone",0,0,0.2926456481063156
2,5,"2,4 Dimethyl Acetophenone",0,1,0.2624541805542643
2,5,"2,4 Dimethyl Acetophenone",0,2,0.2673627564866735
2,5,"2,4 Dimethyl Acetophenone",0,3,0.2861503359848926
2,5,"2,4 Dimethyl Acetophenone",0,4,0.303504154687293
2,5,"2,4 Dimethyl Acetophenone",0,5,0.26516697065291667
2,5,"2,4 Dimethyl Acetophenone",0,6,0.3212913713176516
2,5,"2,4 Dimethyl Acetophenone",0,7,0.23305978096258112
2,5,"2,4 Dimethyl Acetophenone",0,8,0.27899087250276805
2,5,"2,4 Dimethyl Acetophenone",0,9,0.3826442590721106
2,5,"2,4 Dimethyl Acetophenone",0,10,0.28766049971328833
2,5,"2,4 Dimethyl Acetophenone",0,11,0.3360658902725242
2,5,"2,4 Dimethyl Acetophenone",0,12,0.28239811713520563
2,5,"2,4 Dimethyl Acetophenone",0,13,0.30196839382146917
2,5,"2,4 Dimethyl Acetophenone",0,14,0.27646598223256963
2,5,"2,4 Dimethyl Acetophenone",1,0,0.2944802671211173
2,5,"2,4 Dimethyl Acetophenone",1,1,0.2701172744986687
2,5,"2,4 Dimethyl Acetophenone",1,2,0.31850862472598757
2,5,"2,4 Dimethyl Acetophenone",1,3,0.26723508280025476
2,5,"2,4 Dimethyl Acetophenone",1,4,0.3279199798202226
2,5,"2,4 Dimethyl Acetophenone",1,5,0.34470805054552184
2,5,"2,4 Dimethyl Acetophenone",1,6,0.31595782665717465
2,5,"2,4 Dimethyl Acetophenone",1,7,0.2898466210254578
2,5,"2,4 Dimethyl Acetophenone",1,8,0.31945519354003327
2,5,"2,4 Dimethyl Acetophenone",1,9,0.28894964814582896
2,5,"2,4 Dimethyl Acetophenone",1,10,0.3387184553862914
2,5,"2,4 Dimethyl Acetophenone",1,11,0.2280403269990805
2,5,"2,4 Dimethyl Acetophenone",1,12,0.2878722756429396
2,5,"2,4 Dimethyl Acetophenone",1,13,0.22166409056272554
2,5,"2,4 Dimethyl Acetophenone",1,14,0.24149413715859724
2,6,4 Heptanone,0,0,0.3235516056395753
2,6,4 Heptanone,0,1,0.30480451572588635
2,6,4 Heptanone,0,2,0.24021790711562732
2,6,4 Heptanone,0,3,0.20889697820538305
2,6,4 Heptanone,0,4,0.15041596293335288
2,6,4 Heptanone,0,5,0.24725729612971353
2,6,4 Heptanone,0,6,0.365813716936915
