epoch,odor_id,odor_name,mouse_id,trial,R_global
0,9,m Anisaldehyde,0,12,0.11998280993550377
0,9,m Anisaldehyde,0,13,0.10866897103348123
0,9,m Anisaldehyde,0,14,0.11120435030434538
0,9,m Anisaldehyde,1,0,0.08291627741785804
0,9,m Anisaldehyde,1,1,0.08973333517008364
0,9,m Anisaldehyde,1,2,0.10524256330200303
0,9,m Anisaldehyde,1,3,0.0984354969763893
0,9,m Anisaldehyde,1,4,0.10934419960474977
0,9,m Anisaldehyde,1,5,0.10407894279609609
0,9,m Anisaldehyde,1,6,0.09707322316048127
0,9,m Anisaldehyde,1,7,0.10945448559128834
0,9,m Anisaldehyde,1,8,0.09707233577883502
0,9,m Anisaldehyde,1,9,0.10076337869472433
0,9,m Anisaldehyde,1,10,0.09009281527151175
0,9,m Anisaldehyde,1,11,0.09353830818810628
0,9,m Anisaldehyde,1,12,0.08628925718831129
0,9,m Anisaldehyde,1,13,0.10229670649936788
0,9,m Anisaldehyde,1,14,0.08172635047717239
2,0,"2,3 Pentanedione",0,0,0.14146926363137763
2,0,"2,3 Pentanedione",0,1,0.1171442286333071
2,0,"2,3 Pentanedione",0,2,0.15119168240761907
2,0,"2,3 Pentanedione",0,3,0.1406822297892176
2,0,"2,3 Pentanedione",0,4,0.16742665901210613
2,0,"2,3 Pentanedione",0,5,0.1401798723494022
2,0,"2,3 Pentanedione",0,6,0.08260949867960507
2,0,"2,3 Pentanedione",0,7,0.12023667574848107
2,0,"2,3 Pentanedione",0,8,0.09261032525606569
2,0,"2,3 Pentanedione",0,9,0.10895350901177922
2,0,"2,3 Pentanedione",0,10,0.15969121590285412
2,0,"2,3 Pentanedione",0,11,0.1378488503433785
2,0,"2,3 Pentanedione",0,12,0.10443724435646744
2,0,"2,3 Pentanedione",0,13,0.09656757090992613
2,0,"2,3 Pentanedione",0,14,0.12273005739284261
2,0,"2,3 Pentanedione",1,0,0.07810988306519255
2,0,"2,3 Pentanedione",1,1,0.09174537986480621
2,0,"2,3 Pentanedione",1,2,0.11632412358850185
2,0,"2,3 Pentanedione",1,3,0.13740668770238817
2,0,"2,3 Pentanedione",1,4,0.12374292360533175
2,0,"2,3 Pentanedione",1,5,0.051241649084768255
2,0,"2,3 Pentanedione",1,6,0.11613305502547724
